,categoria,product_id,envios,ventas,aceptación,contribución,title
40,complementos,34eb0fe1-b0a3-487b-9d45-438e3fde74ab,14690,4750,0.3233492171545269,0.04216003149132457,Bocarthur Bag cow 
41,complementos,3824f7c4-2e6b-4538-af4c-00ca78b25920,5520,1979,0.3585144927536232,0.017565200488701332,Clarise Bag bohck
42,complementos,3a16cbad-4c23-4e47-87b6-19a99be1be6f,12447,5167,0.4151201092632763,0.0458612384664577,Chanel Bag closet 
43,complementos,3bf9c9a7-3c5b-4ee4-9589-d0d15f0668ad,11348,3958,0.348783926683116,0.035130400977402665,Lysandra Foulard closet 
44,complementos,3d33a057-6a1a-4037-bbf8-317fb92d0967,4640,1517,0.3269396551724138,0.013464582688913554,Terentis Bag sew 
45,complementos,3d6e3f1b-833e-46dd-bec4-d2e794ca6f3f,1847,1012,0.547915538711424,0.008982305656677994,Leav Scarf visc
46,complementos,3e27c6eb-2824-4ae1-ac6a-73f3cb569cd4,9082,3256,0.358511341114292,0.028899592112790067,Noelia Bag bestini 
47,complementos,3edbd22d-5e55-4b92-89f8-6120caa4d1d4,12865,6444,0.5008938981733385,0.057195630090546436,Pcjenna Scarf long 
48,complementos,3ee3f348-03c6-42ef-bdd0-390211bcada2,4706,2507,0.5327241818954526,0.02225162083131594,Virginia Scarf closet 
49,complementos,461712f4-8c80-45f6-8683-85a5f6ba40b8,4134,1781,0.4308176100628931,0.015807792860220857,Belvoir Bag closet 
50,complementos,48362d25-0918-4456-8ece-a60922e8bc6d,1539,858,0.557504873294347,0.007615433056748734,Claudia Scarf check 
51,complementos,4a724e49-a815-4640-9b42-5d93db9e3161,10468,2595,0.24789835689721054,0.02303269088841837,Theone Bag sew 
52,complementos,4b51fcd9-0e4d-45b1-909e-50f569e21e8c,5124,1935,0.37763466042154564,0.017174665460150115,Bocabril Bag cow 
53,complementos,4bc6fdb3-1134-409f-9392-5ce59ce1f9b7,5080,1429,0.2812992125984252,0.01268351263181112,Bocarm Bag suede 
54,complementos,4bcb9428-0169-4502-afcd-4a9570ad53a3,16626,5629,0.3385661012871406,0.04996185626624548,Filperla Bag suede
55,complementos,4c8591ce-f375-4a5e-be65-0be6611bc1d8,2023,748,0.3697478991596639,0.006639095485370691,Carol Bag acc 
56,complementos,4e5e9e48-2c53-499f-89d7-02c688e3a420,8049,2661,0.33060007454342155,0.0236184934312452,Filfirm Scarf wool
57,complementos,4f287b0b-79c2-48bc-9178-efa94108762f,2705,968,0.3578558225508318,0.008591770628126777,Bele Scarf closet 
58,complementos,4fac7bc9-7be8-4283-a6db-f830653b1197,13634,6488,0.4758691506527798,0.05758616511909765,Nude Foulard fortuna
59,complementos,4fd5d944-4ed9-417d-a5c7-fe700ba83ef7,1451,572,0.39421088904204,0.005076955371165822,Isabel Scarf print
60,complementos,501419b0-9033-4c94-9f5a-83f1e31ce3bc,11216,4156,0.37054208273894434,0.03688780860588314,Lysa Foulard closet 
61,complementos,504c0af1-45d3-460a-af0b-3c4f5c0f1760,7652,4288,0.560376372190277,0.03805941369153679,Newport Scarf nude 
62,complementos,51366d92-303a-4116-9c5d-a86cb971a5f2,12162,4683,0.38505180069067585,0.04156535315239431,Jeno Foulard closet
63,complementos,51622935-d9e4-43f2-ae47-c5da4f973c65,1803,726,0.40266222961730447,0.006443827971095082,Floral Scarf square
64,complementos,53176d03-27cd-43a1-8039-7ff70870aa46,5432,2529,0.46557437407952873,0.022446888345591547,Emirate Scarf sew T. UNQ C. ecru
65,complementos,533d15be-72fc-481f-92da-fdb79ba010fa,9632,3320,0.3446843853820598,0.02946764306341002,Dana Bag nude
66,complementos,5819482f-60a0-4043-9a42-0a96130b3f76,12359,4838,0.3914556193866818,0.04294110154842701,Tiger Scarf sew 
67,complementos,587512da-54e0-49f1-819b-6fd73094a35d,10841,5718,0.5274421178858039,0.05075180211945135,Clostole Scarf washed
68,complementos,58c76bc5-1082-4665-ba8f-0f3e1aae57af,4486,1671,0.3724921979491752,0.014831455288842813,Fina Scarf stampa 
69,complementos,5efe4371-343d-4602-b4d5-3adc8998ff64,11260,2354,0.20905861456483127,0.020893624027490117,Tiara Bag cahier 
70,complementos,5fa50bf1-1cc8-4af9-a12a-6c13c60899f1,9060,3233,0.35684326710816777,0.02869544880241102,Nudotto Scarf acrylic 
71,complementos,627a28fd-a581-4c9f-999a-c08fd24ad9c6,1561,528,0.3382447149263293,0.004686420342614605,Moon Bag leather 
72,complementos,62849213-b2d3-4156-94ee-c7eacf18b3bd,4794,2067,0.4311639549436796,0.018346270545803768,Dubley Foulard closet
73,complementos,62e1489f-4276-4566-b4e1-727374dff101,9236,3804,0.4118666089216111,0.03376352837747341,Karissa Foulard film
74,complementos,64334c2b-503b-463a-a82d-aca96e9e231d,10116,5190,0.5130486358244365,0.04606538177683674,Lurex Scarf gold 
75,complementos,64cbdb60-1a84-422e-bc55-f2736cb74837,16097,5563,0.3455923463999503,0.049376053723418654,Ipnosy Scarf lurex
76,complementos,6552beb3-898e-476c-afe5-73aea5bae19a,5762,1979,0.3434571329399514,0.017565200488701332,Lillian Scarf cahier 
77,complementos,65df2ac6-a441-4cec-9dd0-b4f69c0eed65,66,22,0.3333333333333333,0.00019526751427560856,Berloir Scarf cahier 
78,complementos,673cbaef-70fb-464e-bafd-041ac190bb87,13458,5102,0.3791053648387576,0.045284311719734315,Nude Foulard ceres 
79,complementos,67b1cfc3-d7bf-4641-9202-c7725dfd7f9d,6532,3980,0.6093080220453154,0.03532566849167827,Pchush Scarf long
80,complementos,6aba34c9-c7c0-45e9-95c7-486712c18492,5916,2155,0.36426639621365786,0.0191273406029062,Laria Scarf cahier
81,complementos,6c12221b-664f-47d0-b22c-993ccb402c90,16582,5123,0.30894946327342904,0.04547070343790648,Serengety Bag cow
